train_id,station_code,arr_sched,arr_actual,dep_sched,dep_actual,arr_delay,dep_delay
63374_2025-11-02,PARSAUNI6KMH,2025-11-02 06:50,,2025-11-02 06:51,,,
63374_2025-11-02,BAJPATTI70KM,2025-11-02 06:58,,2025-11-02 06:59,,,
63374_2025-11-02,AWAPUR,,,,,,
63374_2025-11-02,BACHHARPURHA,,,,,,
63374_2025-11-02,JANAKPURROAD,2025-11-02 07:19,,2025-11-02 07:20,,,
63374_2025-11-02,CHANDAUNAHAL,,,,,,
63374_2025-11-02,JOGIARA10KMH,2025-11-02 07:35,,2025-11-02 07:36,,,
63374_2025-11-02,ADSBYGOOGLEW,,,,,,
63374_2025-11-02,DEORABANDHAU,,,,,,
63374_2025-11-02,MURAITHA,,,,,,
63374_2025-11-02,KAMTAUL,,,,,,
63374_2025-11-02,TEKTAR,,,2025-11-02 08:06,,,
63374_2025-11-02,MUHAMMADPUR,2025-11-02 08:12,,2025-11-02 08:13,,,
63374_2025-11-02,SHISHO,2025-11-02 08:18,,2025-11-02 08:19,,,
63374_2025-11-02,DARBHANGA,2025-11-02 08:45,,,,,
63205_2025-11-02,KIUL,,,2025-11-02 01:45,,,
63205_2025-11-02,LUCKEESARAI,,,,,,
63205_2025-11-02,MANKATHA1KMH,2025-11-02 02:00,,2025-11-02 02:01,,,
63205_2025-11-02,DUMRI,,,,,,
63205_2025-11-02,BARHIYA2KMHR,2025-11-02 02:16,,2025-11-02 02:18,,,
63205_2025-11-02,RAMPURDUMRA1,2025-11-02 02:25,,2025-11-02 02:26,,,
63205_2025-11-02,HATHIDAH95KM,2025-11-02 02:31,,2025-11-02 02:33,,,
63205_2025-11-02,TALL35KMHR,2025-11-02 02:38,,2025-11-02 02:39,,,
63205_2025-11-02,MOKAMA51KMHR,2025-11-02 02:45,,2025-11-02 02:47,,,
63205_2025-11-02,MOR95KMHR,2025-11-02 02:54,,2025-11-02 02:55,,,
63205_2025-11-02,PUNARAKH124K,2025-11-02 03:06,,2025-11-02 03:07,,,
63205_2025-11-02,BARH95KMHR,2025-11-02 03:16,,2025-11-02 03:18,,,
63205_2025-11-02,ATHMALGOLA95,2025-11-02 03:26,,2025-11-02 03:27,,,
63205_2025-11-02,BAKHTIYARPUR,2025-11-02 03:48,,2025-11-02 03:50,,,
63205_2025-11-02,CHAMPAPURHAL,,,,,,
63205_2025-11-02,TEKABIGHA3KM,2025-11-02 03:59,,2025-11-02 04:00,,,
63205_2025-11-02,SALIMPURBIHA,,,,,,
63205_2025-11-02,KARAUTA3KMHR,2025-11-02 04:10,,2025-11-02 04:11,,,
63205_2025-11-02,MANJHAULIGRA,,,,,,
63205_2025-11-02,KHUSROPUR2KM,2025-11-02 04:18,,2025-11-02 04:19,,,
63205_2025-11-02,HARDASBIGHA,,,,,,
63205_2025-11-02,FATUHA1KMHR,2025-11-02 04:35,,2025-11-02 04:37,,,
63205_2025-11-02,BANKAGHAT95K,2025-11-02 04:43,,2025-11-02 04:44,,,
63205_2025-11-02,PATNASAHEB95,2025-11-02 05:20,,2025-11-02 05:22,,,
63205_2025-11-02,GULZARBAGH55,2025-11-02 05:29,,2025-11-02 05:30,,,
63205_2025-11-02,RAJENDRANAGA,2025-11-02 05:38,,2025-11-02 05:40,,,
63205_2025-11-02,PATNA6KMHR,2025-11-02 06:50,,,,,
63205_2025-11-02,ADSBYGOOGLEW,,,,,,
12307_2025-11-02,HOWRAH,,,2025-11-02 23:30,,,
12307_2025-11-02,BARDHAMAN2KM,2025-11-02 00:22,,2025-11-02 00:24,,,
12307_2025-11-02,ASANSOL134KM,2025-11-02 01:55,,2025-11-02 01:59,,,
12307_2025-11-02,DHANBAD74KMH,,,,,,
12307_2025-11-02,PARASNATH125,2025-11-02 04:00,,2025-11-02 04:02,,,
12307_2025-11-02,KODERMA142KM,2025-11-02 04:52,,2025-11-02 04:54,,,
12307_2025-11-02,GAYA82KMHR,2025-11-02 06:25,,2025-11-02 06:30,,,
12307_2025-11-02,RAFIGANJ110K,2025-11-02 06:58,,2025-11-02 07:00,,,
12307_2025-11-02,ANUGRAHANROA,2025-11-02 07:20,,2025-11-02 07:22,,,
12307_2025-11-02,DEHRIONSONE1,2025-11-02 07:38,,2025-11-02 07:40,,,
12307_2025-11-02,SASARAM115KM,2025-11-02 07:56,,2025-11-02 07:58,,,
12307_2025-11-02,KHURMABADROA,2025-11-02 08:28,,2025-11-02 08:28,,,
12307_2025-11-02,ADSBYGOOGLEW,,,,,,
12307_2025-11-02,BHABUAROAD,2025-11-02 08:36,,2025-11-02 08:38,,,
12307_2025-11-02,PTDEENDAYALU,,,,,,
12307_2025-11-02,MIRZAPUR,,,,,,
12307_2025-11-02,PRAYAGRAJ,,,,,,
12307_2025-11-02,FATEHPUR,,,,,,
12307_2025-11-02,KANPURCENTRA,,,,,,
12307_2025-11-02,ETAWAH,,,,,,
12307_2025-11-02,TUNDLA,,,,,,
12307_2025-11-02,IDGAH,,,,,,
12307_2025-11-02,ACHHNERA,,,,,,
12307_2025-11-02,BHARATPUR,,,,,,
12307_2025-11-02,JAIPUR,,,,,,
12307_2025-11-02,NAWACITY,,,,,,
12307_2025-11-02,KUCHAMANCITY,,,,,,
12307_2025-11-02,MAKRANA,,,,,,
12307_2025-11-02,DEGANA,,,,,,
12307_2025-11-02,MERTAROAD,,,,,,
12307_2025-11-02,JODHPUR,,,,,,
55074_2025-11-02,BARHNI,,,2025-11-02 04:45,,,
55074_2025-11-02,PARSA,,,,,,
